txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label
Don't,100,"[(1039, 566), (1066, 563), (1067, 576), (1040, 579)]","{'Width': 28, 'Height': 16, 'Left': 1039, 'Top': 563}","(0.111, -13.0, 0.111, -13.0)",13.03840481,27.16615541,horizontal,"(1053.0, 571.0)","(0, 0)",1039,563.0,0.0
Lik,100,"[(1066, 563), (1080, 561), (1081, 574), (1067, 576)]","{'Width': 15, 'Height': 15, 'Left': 1066, 'Top': 561}","(0.143, -13.0, 0.143, -13.0)",13.03840481,14.14213562,horizontal,"(1073.5, 568.5)","(0, 0)",1066,561.0,0.0
AND,100,"[(1112, 307), (1172, 309), (1170, 364), (1110, 362)]","{'Width': 62, 'Height': 57, 'Left': 1110, 'Top': 307}","(-0.033, 27.5, -0.033, 27.5)",55.03635162,60.03332408,horizontal,"(1141.0, 335.5)","(0, 0)",1110,307.0,0.0
FALL,100,"[(1119, 346), (1187, 353), (1185, 373), (1117, 367)]","{'Width': 70, 'Height': 27, 'Left': 1117, 'Top': 346}","(-0.103, 10.0, -0.088, 10.5)",20.59738718,68.31176865,horizontal,"(1152.0, 359.75)","(0, 0)",1117,346.0,0.0
LOVE,100,"[(1119, 502), (1183, 508), (1181, 530), (1117, 524)]","{'Width': 66, 'Height': 28, 'Left': 1117, 'Top': 502}","(-0.094, 11.0, -0.094, 11.0)",22.09072203,64.28063472,horizontal,"(1150.0, 516.0)","(0, 0)",1117,502.0,0.0
FOLLOW,100,"[(1119, 616), (1239, 625), (1237, 649), (1117, 640)]","{'Width': 122, 'Height': 33, 'Left': 1117, 'Top': 616}","(-0.075, 12.0, -0.075, 12.0)",24.08318916,120.3370267,horizontal,"(1178.0, 632.5)","(0, 0)",1117,616.0,0.0
FIND,100,"[(1120, 292), (1164, 296), (1161, 319), (1118, 315)]","{'Width': 46, 'Height': 27, 'Left': 1118, 'Top': 292}","(-0.091, 7.667, -0.093, 11.5)",23.14080989,43.68354492,horizontal,"(1140.75, 305.5)","(0, 0)",1118,292.0,0.0
LEARN,100,"[(1120, 451), (1203, 459), (1201, 479), (1118, 471)]","{'Width': 85, 'Height': 28, 'Left': 1118, 'Top': 451}","(-0.096, 10.0, -0.096, 10.0)",20.09975124,83.38465087,horizontal,"(1160.5, 465.0)","(0, 0)",1118,451.0,0.0
SPEND,100,"[(1119, 573), (1161, 576), (1160, 589), (1118, 586)]","{'Width': 43, 'Height': 16, 'Left': 1118, 'Top': 573}","(-0.071, 13.0, -0.071, 13.0)",13.03840481,42.10700654,horizontal,"(1139.5, 581.0)","(0, 0)",1118,573.0,0.0
SMILE,100,"[(1119, 586), (1197, 592), (1195, 608), (1118, 602)]","{'Width': 79, 'Height': 22, 'Left': 1118, 'Top': 586}","(-0.077, 8.0, -0.078, 16.0)",16.07786752,77.73192066,horizontal,"(1157.25, 597.0)","(0, 0)",1118,586.0,0.0
TRY,100,"[(1119, 642), (1167, 646), (1166, 663), (1118, 659)]","{'Width': 49, 'Height': 21, 'Left': 1118, 'Top': 642}","(-0.083, 17.0, -0.083, 17.0)",17.02938637,48.16637832,horizontal,"(1142.5, 652.5)","(0, 0)",1118,642.0,0.0
DRINK,100,"[(1120, 368), (1165, 372), (1164, 386), (1119, 382)]","{'Width': 46, 'Height': 18, 'Left': 1119, 'Top': 368}","(-0.089, 14.0, -0.089, 14.0)",14.03566885,45.17742799,horizontal,"(1142.0, 377.0)","(0, 0)",1119,368.0,0.0
TIME,100,"[(1120, 383), (1155, 386), (1153, 402), (1119, 399)]","{'Width': 36, 'Height': 19, 'Left': 1119, 'Top': 383}","(-0.086, 8.0, -0.088, 16.0)",16.07786752,34.63021624,horizontal,"(1136.75, 392.5)","(0, 0)",1119,383.0,0.0
REMINISCE,100,"[(1120, 420), (1200, 427), (1198, 441), (1119, 434)]","{'Width': 81, 'Height': 21, 'Left': 1119, 'Top': 420}","(-0.087, 7.0, -0.089, 14.0)",14.08890224,79.80759314,horizontal,"(1159.25, 430.5)","(0, 0)",1119,420.0,0.0
WITH,100,"[(1120, 436), (1158, 439), (1156, 454), (1119, 451)]","{'Width': 39, 'Height': 18, 'Left': 1119, 'Top': 436}","(-0.079, 7.5, -0.081, 15.0)",15.08302116,37.61982975,horizontal,"(1138.25, 445.0)","(0, 0)",1119,436.0,0.0
SPEND,100,"[(1120, 474), (1180, 479), (1179, 491), (1119, 486)]","{'Width': 61, 'Height': 17, 'Left': 1119, 'Top': 474}","(-0.083, 12.0, -0.083, 12.0)",12.04159458,60.20797289,horizontal,"(1149.5, 482.5)","(0, 0)",1119,474.0,0.0
SEIZE,100,"[(1120, 487), (1156, 490), (1155, 505), (1119, 502)]","{'Width': 37, 'Height': 18, 'Left': 1119, 'Top': 487}","(-0.083, 15.0, -0.083, 15.0)",15.03329638,36.12478374,horizontal,"(1137.5, 496.0)","(0, 0)",1119,487.0,0.0
NEVER,100,"[(1120, 526), (1185, 532), (1183, 548), (1119, 542)]","{'Width': 66, 'Height': 22, 'Left': 1119, 'Top': 526}","(-0.092, 8.0, -0.094, 16.0)",16.07786752,64.7784852,horizontal,"(1151.75, 537.0)","(0, 0)",1119,526.0,0.0
MAKE,100,"[(1120, 558), (1163, 562), (1162, 576), (1119, 572)]","{'Width': 44, 'Height': 18, 'Left': 1119, 'Top': 558}","(-0.093, 14.0, -0.093, 14.0)",14.03566885,43.18564576,horizontal,"(1141.0, 567.0)","(0, 0)",1119,558.0,0.0
