txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label,image_path
THE,100,"[(83, 360), (85, 402), (69, 403), (67, 361)]","{'Width': 18, 'Height': 43, 'Left': 67, 'Top': 360}","(-21.0, 0.062, -21.0, 0.062)",16.03121954,42.04759208,vertical,"(76.0, 381.5)","(0, 0)",67,360,1,cropped_images_1\cropped_0.jpg
TIPPING,100,"[(85, 412), (88, 501), (72, 502), (69, 413)]","{'Width': 19, 'Height': 90, 'Left': 69, 'Top': 412}","(-29.667, 0.062, -29.667, 0.062)",16.03121954,89.05054744,vertical,"(78.5, 457.0)","(0, 0)",69,412,1,cropped_images_1\cropped_1.jpg
POINT,100,"[(89, 511), (92, 578), (76, 579), (73, 512)]","{'Width': 19, 'Height': 68, 'Left': 73, 'Top': 511}","(-22.333, 0.062, -22.333, 0.062)",16.03121954,67.06713055,vertical,"(82.5, 545.0)","(0, 0)",73,511,1,cropped_images_1\cropped_2.jpg
MALCOLM,100,"[(90, 621), (95, 722), (80, 723), (75, 622)]","{'Width': 20, 'Height': 102, 'Left': 75, 'Top': 621}","(-20.2, 0.067, -20.2, 0.067)",15.03329638,101.1236866,vertical,"(85.0, 672.0)","(0, 0)",75,621,1,cropped_images_1\cropped_3.jpg
GLADWELL,100,"[(96, 735), (102, 846), (87, 847), (81, 736)]","{'Width': 21, 'Height': 112, 'Left': 81, 'Top': 735}","(-18.5, 0.067, -18.5, 0.067)",15.03329638,111.1620439,vertical,"(91.5, 791.0)","(0, 0)",81,735,1,cropped_images_1\cropped_4.jpg
MESSI,100,"[(149, 324), (152, 445), (120, 446), (117, 325)]","{'Width': 35, 'Height': 122, 'Left': 117, 'Top': 324}","(-40.333, 0.031, -40.333, 0.031)",32.01562119,121.0371844,vertical,"(134.5, 385.0)","(0, 0)",117,324,1,cropped_images_1\cropped_5.jpg
NEYMAR,100,"[(152, 464), (155, 607), (123, 608), (120, 465)]","{'Width': 35, 'Height': 144, 'Left': 120, 'Top': 464}","(-47.667, 0.031, -47.667, 0.031)",32.01562119,143.0314651,vertical,"(137.5, 536.0)","(0, 0)",120,464,1,cropped_images_1\cropped_6.jpg
RONALDO,100,"[(156, 623), (160, 774), (129, 775), (125, 624)]","{'Width': 35, 'Height': 152, 'Left': 125, 'Top': 623}","(-37.75, 0.032, -37.75, 0.032)",31.01612484,151.0529708,vertical,"(142.5, 699.0)","(0, 0)",125,623,1,cropped_images_1\cropped_7.jpg
CALI,100,"[(160, 779), (162, 862), (130, 863), (128, 780)]","{'Width': 34, 'Height': 84, 'Left': 128, 'Top': 779}","(-41.5, 0.031, -41.5, 0.031)",32.01562119,83.02409289,vertical,"(145.0, 821.0)","(0, 0)",128,779,1,cropped_images_1\cropped_8.jpg
LUCA,100,"[(166, 335), (214, 340), (211, 363), (164, 358)]","{'Width': 50, 'Height': 28, 'Left': 164, 'Top': 335}","(-0.104, 7.667, -0.106, 11.5)",23.14080989,47.76246162,horizontal,"(188.75, 349.0)","(0, 0)",164,335,0,cropped_images_1\cropped_9.jpg
PINSKER,100,"[(170, 497), (222, 498), (222, 509), (170, 508)]","{'Width': 52, 'Height': 12, 'Left': 170, 'Top': 497}","(-0.019, 1000.0, -0.019, 1000.0)",11.0,52.0096145,horizontal,"(196.0, 503.0)","(0, 0)",170,497,0,cropped_images_1\cropped_10.jpg
