txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
A,100,"[(286, 160), (290, 196), (258, 199), (254, 163)]","{'Width': 36, 'Height': 39, 'Left': 254, 'Top': 160}","(5.023, -0.052)",32.14031735997639,36.22154055254967,vertical,"(272.0, 179.5)","(0, 0)",254,160
Writer's,100,"[(291, 208), (308, 365), (275, 369), (258, 212)]","{'Width': 50, 'Height': 161, 'Left': 258, 'Top': 208}","(5.154, -0.068)",33.24154027718932,157.91770008456936,vertical,"(283.0, 288.5)","(0, 0)",258,208
Guide,100,"[(309, 380), (321, 490), (289, 494), (277, 383)]","{'Width': 44, 'Height': 114, 'Left': 277, 'Top': 380}","(5.116, -0.07)",32.2490309931942,110.65260954898443,vertical,"(299.0, 436.75)","(0, 0)",277,380
To,100,"[(322, 500), (325, 531), (293, 534), (290, 503)]","{'Width': 35, 'Height': 34, 'Left': 290, 'Top': 500}","(5.767, -0.052)",32.14031735997639,31.144823004794873,vertical,"(307.5, 517.0)","(0, 0)",290,500
ACTIVE,100,"[(327, 547), (345, 720), (314, 723), (295, 550)]","{'Width': 50, 'Height': 176, 'Left': 295, 'Top': 547}","(5.364, -0.054)",31.144823004794873,173.93389548906217,vertical,"(320.25, 635.0)","(0, 0)",295,547
SETTING,100,"[(347, 732), (367, 916), (334, 919), (314, 736)]","{'Width': 53, 'Height': 187, 'Left': 314, 'Top': 732}","(5.135, -0.051)",33.13608305156178,185.0837648201484,vertical,"(340.5, 825.75)","(0, 0)",314,732
808,100,"[(359, 963), (327, 963), (327, 950), (359, 950)]","{'Width': 32, 'Height': 13, 'Left': 327, 'Top': 950}","(-0.0, -300.0)",13.0,32.0,horizontal,"(343.0, 956.5)","(0, 0)",327,950
BUC,100,"[(329, 973), (361, 973), (361, 985), (329, 985)]","{'Width': 32, 'Height': 12, 'Left': 329, 'Top': 973}","(0.0, -300.0)",12.0,32.0,horizontal,"(345.0, 979.0)","(0, 0)",329,973
CRAFTING,100,"[(388, 274), (404, 457), (365, 461), (349, 277)]","{'Width': 55, 'Height': 187, 'Left': 349, 'Top': 274}","(6.384, -0.057)",39.20459156782532,183.69812192834198,vertical,"(376.5, 367.25)","(0, 0)",349,274
DYNAMIC,100,"[(405, 468), (420, 634), (381, 638), (366, 471)]","{'Width': 54, 'Height': 170, 'Left': 366, 'Top': 468}","(6.177, -0.057)",39.20459156782532,166.67633305301626,vertical,"(393.0, 552.75)","(0, 0)",366,468
DIALOGUE,100,"[(421, 645), (437, 829), (398, 833), (382, 648)]","{'Width': 55, 'Height': 188, 'Left': 382, 'Top': 645}","(6.418, -0.057)",39.20459156782532,184.69434208984313,vertical,"(409.5, 738.75)","(0, 0)",382,645
STORYVILLE,100,"[(474, 40), (511, 449), (442, 456), (405, 46)]","{'Width': 106, 'Height': 416, 'Left': 405, 'Top': 40}","(6.17, -0.057)",69.35416353759881,410.67018396762137,vertical,"(458.0, 247.75)","(0, 0)",405,40
!,100,"[(511, 455), (513, 478), (445, 484), (443, 461)]","{'Width': 70, 'Height': 29, 'Left': 443, 'Top': 455}","(6.418, -0.049)",68.26419266350405,23.08679276123039,vertical,"(478.0, 469.5)","(0, 0)",443,455
TO,100,"[(479, 492), (482, 527), (451, 530), (448, 495)]","{'Width': 34, 'Height': 38, 'Left': 448, 'Top': 492}","(6.511, -0.054)",31.144823004794873,35.12833614050059,vertical,"(465.0, 511.0)","(0, 0)",448,492
WRITING,100,"[(483, 537), (493, 651), (461, 653), (451, 540)]","{'Width': 42, 'Height': 116, 'Left': 451, 'Top': 537}","(6.363, -0.035)",32.0624390837628,114.43775600735974,vertical,"(472.0, 595.25)","(0, 0)",451,537
FICTION,100,"[(494, 660), (503, 763), (471, 765), (462, 663)]","{'Width': 41, 'Height': 105, 'Left': 462, 'Top': 660}","(6.387, -0.035)",32.0624390837628,103.39245620450265,vertical,"(482.5, 712.75)","(0, 0)",462,660
JOHN,100,"[(481, 836), (551, 837), (551, 870), (481, 869)]","{'Width': 70, 'Height': 34, 'Left': 481, 'Top': 836}","(0.008, -300.0)",33.0,70.00714249274856,horizontal,"(516.0, 853.0)","(0, 0)",481,836
ILUSTRATED,100,"[(484, 913), (556, 914), (556, 931), (484, 930)]","{'Width': 72, 'Height': 18, 'Left': 484, 'Top': 913}","(0.008, -300.0)",17.0,72.00694410957877,horizontal,"(520.0, 922.0)","(0, 0)",484,913
808.3,100,"[(486, 956), (538, 956), (538, 968), (486, 968)]","{'Width': 52, 'Height': 12, 'Left': 486, 'Top': 956}","(0.0, -300.0)",12.0,52.0,horizontal,"(512.0, 962.0)","(0, 0)",486,956
DUE,100,"[(486, 978), (518, 978), (518, 989), (486, 989)]","{'Width': 32, 'Height': 11, 'Left': 486, 'Top': 978}","(0.0, -300.0)",11.0,32.0,horizontal,"(502.0, 983.5)","(0, 0)",486,978
AN,100,"[(515, 494), (518, 527), (490, 529), (487, 497)]","{'Width': 31, 'Height': 35, 'Left': 487, 'Top': 494}","(6.139, -0.04)",28.071337695236398,33.13608305156178,vertical,"(502.5, 511.75)","(0, 0)",487,494
BY,100,"[(487, 937), (507, 937), (507, 949), (487, 949)]","{'Width': 20, 'Height': 12, 'Left': 487, 'Top': 937}","(0.0, -300.0)",12.0,20.0,horizontal,"(497.0, 943.0)","(0, 0)",487,937
ILLUSTRATED,100,"[(519, 541), (533, 696), (504, 699), (490, 544)]","{'Width': 43, 'Height': 158, 'Left': 490, 'Top': 541}","(6.179, -0.058)",29.154759474226502,155.63097378092831,vertical,"(511.5, 620.0)","(0, 0)",490,541
GUIDE,100,"[(534, 705), (539, 765), (511, 767), (505, 708)]","{'Width': 34, 'Height': 62, 'Left': 505, 'Top': 705}","(6.698, -0.04)",28.071337695236398,60.207972893961475,vertical,"(522.25, 736.25)","(0, 0)",505,705
