txt,vertices,boundBox,slopes,font,word_len,direction,center_point,Label,img_path,idx,type
ARM,"[(2942, 1224), (2980, 1228), (2979, 1239), (2941, 1235)]","{'Width': 39, 'Height': 15, 'Left': 2941, 'Top': 1224}","(-0.105, 11.0, -0.105, 11.0)",11.04536102,38.20994635,horizontal,"(2960.5, 1231.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1325,train
808.3,"[(464, 1188), (525, 1190), (525, 1203), (464, 1201)]","{'Width': 61, 'Height': 15, 'Left': 464, 'Top': 1188}","(-0.033, 1000.0, -0.033, 1000.0)",13.0,61.03277808,horizontal,"(494.5, 1195.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1024,train
UNPREDICTABLE,"[(2464, 807), (2459, 942), (2445, 941), (2450, 807)]","{'Width': 19, 'Height': 135, 'Left': 2445, 'Top': 807}","(27.0, -0.071, 26.8, -0.0)",14.01783442,134.592906,vertical,"(2454.5, 874.25)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1274,train
TRUTH,"[(679, 381), (680, 456), (662, 456), (661, 381)]","{'Width': 19, 'Height': 75, 'Left': 661, 'Top': 381}","(-75.0, 0.0, -75.0, -0.0)",18.0,75.00666637,vertical,"(670.5, 418.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,660,train
808.3,"[(706, 1177), (767, 1180), (766, 1201), (705, 1198)]","{'Width': 62, 'Height': 24, 'Left': 705, 'Top': 1177}","(-0.049, 21.0, -0.049, 21.0)",21.02379604,61.07372594,horizontal,"(736.0, 1189.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1054,train
BRAIN,"[(146, 281), (146, 339), (122, 339), (122, 281)]","{'Width': 24, 'Height': 58, 'Left': 122, 'Top': 281}","(1000.0, 0.0, 1000.0, -0.0)",24.0,58.0,vertical,"(134.0, 310.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_1.jpg,916,train
GLADWELL,"[(96, 735), (102, 846), (87, 847), (81, 736)]","{'Width': 21, 'Height': 112, 'Left': 81, 'Top': 735}","(-18.5, 0.067, -18.5, 0.067)",15.03329638,111.1620439,vertical,"(91.5, 791.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,4,train
COM,"[(1303, 1215), (1341, 1215), (1341, 1229), (1303, 1229)]","{'Width': 38, 'Height': 14, 'Left': 1303, 'Top': 1215}","(-0.0, 1000.0, 0.0, 1000.0)",14.0,38.0,horizontal,"(1322.0, 1222.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1126,train
CANAAN'S,"[(1315, 507), (1304, 754), (1260, 752), (1271, 505)]","{'Width': 55, 'Height': 249, 'Left': 1260, 'Top': 505}","(22.455, -0.045, 22.455, -0.045)",44.04543109,247.2448179,vertical,"(1287.5, 629.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,258,train
SCIESZKA,"[(325, 93), (347, 138), (326, 148), (304, 103)]","{'Width': 43, 'Height': 55, 'Left': 304, 'Top': 93}","(-2.045, 0.476, -2.045, 0.476)",23.2594067,50.08991915,vertical,"(325.5, 120.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,797,train
